"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,1.776,0.5261,3.007,1.94,0.7296,0.7097,-104.8
1,1.863,0.8978,3.266,1.53,0.6558,0.7455,-105.2
1,1.751,0.8458,4.828,1.75,0.92,0.7098,-93.67
1,1.668,1.107,2.384,0.6837,0.2893,0.7171,-104.8
1,1.988,1.682,3.276,1.551,1.231,0.6734,-104
1,2.019,1.33,2.904,2.374,0.8433,0.7259,-103.5
1,1.824,1.12,2.257,1.647,1.844,0.6269,-99.7
1,1.703,1.893,2.717,0.8448,1.069,0.6642,-103.6
1,1.578,0.7028,2.199,0.8608,0.1891,0.8276,-103.4
1,1.711,0.5882,2.821,1.69,0.3533,0.8927,-101.8
1,1.712,1.268,2.651,2.602,0.3436,0.7586,-103.2
1,1.965,2.035,3.269,1.598,1.576,0.7521,-104.8
1,1.876,1.088,1.6,2.999,1.817,0.9037,-97.08
1,1.741,0.6749,4.398,0.9621,1.255,0.7908,-98.31
1,1.629,1.559,1.975,1.335,0.3361,0.683,-105.4
1,2.059,1.393,3.37,1.967,1.376,0.9036,-99.92
1,1.852,1.037,2.274,0.8933,0.04509,0.8865,-96.55
1,1.801,1.259,3.931,1.369,0.3971,0.7108,-104.4
1,2.034,1.686,2.351,2.101,1.233,0.9422,-98.06
1,1.665,1.286,1.986,0.7297,2.055,0.9106,-97.74
1,1.707,1.01,3.7,2.243,0.34,0.7862,-101.7
1,2.173,1.603,3.591,2.413,1.238,0.735,-100.8
1,1.895,1.113,2.419,2.094,1.778,0.7845,-103.7
1,1.703,1.518,1.433,2.004,1.763,0.7749,-101.3
1,1.694,1.798,1.481,0.8193,1.169,0.9668,-97.48
1,1.783,1.327,3.083,1.805,0.6405,0.7052,-106.4
1,1.915,2.816,1.815,0.7644,0.7268,0.815,-100.5
1,1.7,1.035,1.192,1.08,2.031,0.8901,-98.21
1,1.765,1.591,3.041,0.7796,0.142,0.7207,-105.3
1,2.058,2.785,2.903,1.548,2.085,0.8575,-100.4
1,1.807,1.201,2.797,1.259,1.677,0.7923,-104.1
1,1.69,0.9117,2.423,1.686,0.0304,0.812,-104.7
1,1.685,0.9482,3.797,1.465,1.367,0.8539,-98.2
1,1.924,1.502,2.528,1.344,0.5177,0.6138,-97.53
1,1.884,1.437,2.365,0.56,2.216,0.8339,-99.39
1,1.719,2.996,2.011,1.055,0.7446,0.6916,-101.9
1,1.939,0.7937,3.667,2.302,1.306,0.8271,-102
1,2.08,2.129,3.25,0.3702,2.124,0.9705,-92.77
1,1.905,2.028,3.767,0.996,0.6955,0.9474,-98.84
1,1.849,1.015,2.984,2.003,0.2544,0.6757,-104.2
1,1.348,1.256,1.011,1.253,0.5342,0.6747,-94.65
1,1.735,1.669,2.79,0.03481,0.2642,0.7895,-101.9
1,1.821,0.7091,3.461,0.4145,0.2858,0.8732,-97.8
1,1.993,2.422,2.386,1.029,2.544,0.8011,-99.61
1,1.914,1.724,3.058,0.5847,0.3425,0.8406,-100.3
1,1.996,2.119,2.877,2.193,2.123,0.7444,-101.9
1,1.747,0.7894,2.137,1.925,0.7102,0.7233,-105.4
1,1.825,0.9752,1.92,2.434,0.8887,0.7908,-103.7
1,1.787,1.786,2.547,1.682,0.3127,0.7307,-106.9
1,1.533,0.807,2.262,0.4404,0.9762,0.7492,-102.9
1,1.801,1.734,1.756,2.864,0.8654,0.7006,-101
1,1.42,0.6912,1.325,1.168,0.7372,0.8399,-100.3
1,1.723,0.986,1.164,2.464,1.16,0.7467,-101.6
1,1.941,1.905,1.929,2.497,1.276,0.7871,-103.5
1,1.816,1.871,3.348,2.861,1.189,0.8583,-96.77
1,1.684,1.033,2.786,2.745,0.1537,0.7665,-101.7
1,2.028,1.742,3.007,1.151,2.631,0.8626,-98.05
1,2.004,2.231,2.482,1.587,1.701,0.7218,-104.1
1,1.798,1.415,2.216,1.678,0.524,0.7787,-106
1,1.998,2.285,3.109,2.685,0.9133,0.8366,-102.3
1,1.697,1.293,2.717,2.329,0.1026,0.6881,-103.5
1,1.952,1.708,3.521,2.255,1.122,0.7049,-104.4
1,1.544,0.5399,2.323,1.752,0.3116,0.699,-103.3
1,2.05,1.014,4.17,2.184,0.9133,0.734,-101.5
1,1.954,2.583,4.597,1.339,0.5927,0.78,-100.9
1,1.936,1.698,3.052,2.067,1.911,0.7176,-102.9
1,1.551,0.7623,2.36,0.8948,0.9676,0.7695,-103.7
